ACCIDENT_ID,LOCATE_ID_DISTRICT,LOCATE_ID_POLICE,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_TYPE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,LOCATE_AREATYPE,HEALTH_DEADPLACE,HEALTH_EMSSEND
140163,100484,0,4,13,118000,2,0,1,1,3,1,3,995581,1772781,15.9848661,103.6273133,1,19,3,0,1052,1052,0,0,50
140164,100484,0,4,13,118000,2,0,1,1,3,1,3,995581,1772781,15.9848661,103.6273133,1,16,2,0,1052,1052,0,0,50
140165,100545,0,4,13,59000,1,0,4,1,2,1,1,1122747,1810469,16.2950393,104.8206465,1,40,2,0,1056,1056,0,0,20
140166,100905,0,4,13,49000,1,0,4,1,2,1,1,565552,846983,7.662053704,99.59436058,1,14,2,0,1091,1091,0,0,20
140167,100724,0,4,13,0,1,0,4,1,1,1,3,661738,1805625,16.3262528,100.5140212,1,32,2,0,1072,1072,0,0,20
140168,100662,0,3,13,4008000,0,1,3,1,1,1,2,618474,1746486,15.79423214,100.1061369,2,16,2,1,1066,1066,0,10,40
140169,100248,0,4,13,0,1,0,4,1,2,1,1,771315,1623480,14.67128006,101.5191643,1,9,3,0,1038,1038,0,0,60
140170,100123,0,4,13,0,1,0,1,1,1,90,2,677772,1637365,14.80456364,100.6518868,1,17,2,0,1026,1026,1,0,60
140171,100859,0,10,14,59000,1,0,4,1,1,1,3,487197,980310,8.868446081,98.88355985,1,39,2,0,1086,1086,1,0,20
140172,100672,0,6,14,4000000,0,1,1,1,1,1,1,584613,1741461,15.75018619,99.78984259,1,9,2,1,1066,1066,0,30,40
140173,100682,0,6,14,4000000,0,1,2,1,1,1,2,576151,1677480,15.1720597,99.70888651,1,57,2,1,1067,1067,0,10,50
140174,100910,0,3,14,0,0,1,2,1,1,1,1,572609,868896,7.860164967,99.65865216,1,72,1,1,1091,1091,0,10,20
140175,100142,0,6,14,90000,0,2,1,1,3,1,2,636947,1686221,15.24857801,100.275231,2,28,2,1,1028,1028,1,10,50
140176,100142,0,6,14,90000,0,2,1,1,3,1,2,636947,1686221,15.24857801,100.275231,2,49,3,1,1028,1028,1,10,50
140177,100875,0,6,14,5000000,0,1,1,1,1,1,1,519277,1174163,10.62175784,99.17623733,1,52,2,1,1088,1088,0,30,40
140178,100233,0,6,14,4000000,0,1,1,90,90,90,90,866602,1660113,14.99063634,102.4081121,1,21,9,1,1038,1038,0,30,40
140179,100852,0,7,14,59000,1,0,4,1,1,1,1,556083,1005635,9.097174121,99.51037491,1,17,2,0,1086,1086,0,0,40
140180,100495,0,7,14,0,1,0,1,1,1,1,1,980960,1822737,16.43797587,103.5013328,1,23,2,0,1053,1053,0,0,90
140181,100484,0,8,14,4059000,1,1,1,1,1,1,1,997582,1779841,16.04807763,103.6474277,1,76,2,0,1052,1052,1,0,50
140182,100484,0,8,14,4059000,1,1,1,1,1,1,1,997582,1779841,16.04807763,103.6474277,2,70,9,1,1052,1052,1,10,50
140183,100543,0,6,14,0,1,0,3,1,1,1,1,1112074,1833716,16.50686232,104.727384,2,44,2,0,1056,1056,0,0,40
140184,100787,0,5,14,59000,1,0,4,2,1,3,2,621010,1497387,13.54232292,100.1183172,2,31,2,0,1078,1078,0,0,20
140185,100499,0,7,14,0,1,0,1,1,1,1,90,1033940,1839800,16.58041908,103.9998358,2,22,9,0,1053,1053,0,0,20
140186,100601,0,6,14,0,1,0,1,1,3,1,1,678018,1960111,17.72098652,100.6787768,1,70,2,0,1060,1060,0,0,20
140187,100856,0,7,14,59000,1,0,3,1,3,1,1,521669,1037540,9.386056077,99.19735839,1,54,2,0,1086,1086,0,0,20
140188,100615,0,6,14,0,0,1,1,1,1,1,1,683787,2078030,18.78581991,100.7437625,1,71,2,1,1062,1062,0,30,30
140189,100896,0,6,14,150000,1,0,4,1,1,1,1,670688,801928,7.252275839,100.5460351,1,18,2,0,1089,1089,0,0,50
140190,100520,0,6,14,59000,1,0,1,1,1,1,1,972848,1937479,17.47368407,103.4498988,2,20,2,0,1054,1054,0,0,90
140191,100156,0,4,13,0,1,0,2,1,1,1,3,693965,1628097,14.71968201,100.801614,1,20,2,0,1029,1029,0,0,40
140192,100632,0,4,13,118000,2,0,1,1,1,1,3,589893,2132775,19.28672391,99.85554218,1,28,2,0,1063,1084,0,0,40
140193,100632,0,4,13,118000,2,0,1,1,1,1,3,589893,2132775,19.28672391,99.85554218,1,13,3,0,1063,1072,0,0,40
140194,100578,0,4,13,0,1,0,4,1,1,1,1,492473,1972419,17.83940038,98.92896246,1,71,2,0,1058,1058,0,0,20
140195,100723,0,4,13,59000,1,0,3,2,1,1,1,643114,1816791,16.42834526,100.3404091,1,23,2,0,1072,1072,0,0,50
140196,100251,0,4,13,4000000,0,1,1,1,1,1,2,875901,1711954,15.45714583,102.502181,1,47,9,1,1050,1050,2,10,40
140197,100783,0,4,13,0,1,0,4,1,2,1,3,626225,1546876,13.98949723,100.1687247,1,15,2,0,1077,1077,0,0,50
140198,100932,0,4,13,59000,1,0,4,1,1,1,1,788852,738531,6.674490639,101.612548,2,13,2,0,1093,1093,0,0,20
140199,100106,0,4,15,20000,1,0,4,1,1,1,1,666408,1603254,14.49699445,100.5441584,1,16,3,0,1024,1024,0,0,40
140200,100685,0,4,15,15000,2,0,1,1,3,90,3,564202,1822147,16.48017988,99.60151423,1,17,2,0,1068,1068,0,0,50
140201,100685,0,4,15,15000,2,0,1,1,3,90,3,564202,1822147,16.48017988,99.60151423,1,18,3,0,1068,1068,1,0,50
