,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,track_id,Position,Track Name,Artist,Streams,date,track_id
0,0.68,0.122,128.062,0.141,0.213,1.57e-05,4,0.773,9,211859,-6.377999999999999,0.49700000000000005,0,6uFsE1JgZ20EXyU0JQZbUR,1,Look What You Made Me Do,Taylor Swift,184006,2017-08-27,6uFsE1JgZ20EXyU0JQZbUR
24200,0.6659999999999999,0.0854,139.987,0.0446,0.193,0.0,4,0.664,8,210560,-2.2030000000000003,0.405,1,3CYH422oy1cZNoo0GTG1TK,1,Psycho,Red Velvet,593898,2019-12-22,3CYH422oy1cZNoo0GTG1TK
22600,0.598,0.204,103.979,0.0304,0.45399999999999996,2.8199999999999998e-05,4,0.629,0,241125,-6.654,0.442,1,1wl5vs3SCMPpHTIR8IW8nJ,1,แอบดี (How to live without you),Stamp,515495,2019-10-27,1wl5vs3SCMPpHTIR8IW8nJ
600,0.775,0.0677,129.819,0.0545,0.022000000000000002,0.0,4,0.598,1,223123,-4.035,0.687,0,5SE57ljOIUJ1ybL9U6CuBH,1,DNA,BTS,83991,2017-09-17,5SE57ljOIUJ1ybL9U6CuBH
1600,0.529,0.218,91.98100000000001,0.175,0.0652,1.25e-05,4,0.7909999999999999,7,209680,-6.87,0.428,1,5Gd19NupVe5X8bAqxf9Iaz,1,Gorgeous,Taylor Swift,58577,2017-10-22,5Gd19NupVe5X8bAqxf9Iaz
19000,0.54,0.0945,116.947,0.0287,0.037000000000000005,0.0,4,0.759,9,190960,-6.039,0.75,0,0TK2YIli7K1leLovkQiNik,1,Señorita,Shawn Mendes,388881,2019-06-23,0TK2YIli7K1leLovkQiNik
2000,0.37200000000000005,0.16899999999999998,91.87299999999999,0.0432,0.64,0.0,4,0.6809999999999999,5,201000,-8.237,0.47600000000000003,1,1mXVgsBdtIVeCLJnSnmtdV,1,Too Good At Goodbyes,Sam Smith,67194,2017-11-05,1mXVgsBdtIVeCLJnSnmtdV
2800,0.299,0.12300000000000001,94.992,0.0263,0.779,0.0,3,0.5870000000000001,8,259550,-7.365,0.35600000000000004,1,1bhUWB0zJMIKr9yVPrkEuI,1,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,69409,2017-12-03,1bhUWB0zJMIKr9yVPrkEuI
3200,0.5329999999999999,0.256,85.11399999999999,0.0351,0.26899999999999996,0.0,4,0.28300000000000003,0,250787,-8.402999999999999,0.371,1,13jEKU2J3JJPe3tpo8p4vY,1,นี่แหละความรัก (This is Love),Peck Palitchoke,80403,2017-12-17,13jEKU2J3JJPe3tpo8p4vY
15800,0.7509999999999999,0.102,100.031,0.0331,0.8009999999999999,1.7e-06,4,0.657,0,221229,-7.399,0.8340000000000001,1,3BK6m6yU8BAW5z71FnU3nu,1,ธารารัตน์,YOUNGOHM,348902,2019-03-03,3BK6m6yU8BAW5z71FnU3nu
12000,0.7140000000000001,0.099,90.991,0.0274,0.0427,0.000306,4,0.489,0,251947,-5.771,0.284,1,7woh2lJvyILYxSQ1kXTI3d,1,ซ่อนกลิ่น,Palmy,244681,2018-10-21,7woh2lJvyILYxSQ1kXTI3d
11200,0.56,0.111,139.989,0.106,0.41,0.0,4,0.858,2,212571,-6.24,0.966,1,09Mn2O6dtMLCKdeD0BtLdO,1,เป็นไรไหม?,OG-ANIC,152832,2018-09-23,09Mn2O6dtMLCKdeD0BtLdO
