,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0,0.68,0.122,128.062,0.141,0.213,1.57e-05,4,0.773,9,211859,-6.378,0.497,0,audio_features,spotify:track:6uFsE1JgZ20EXyU0JQZbUR
1,0.739,0.306,104.99,0.0387,0.00459,0.0,4,0.744,8,189467,-5.35,0.649,1,audio_features,spotify:track:7nZmah2llfvLDiUjm0kiyz
2,0.745,0.0943,101.018,0.0571,0.0642,0.0,4,0.893,11,223413,-3.105,0.872,0,audio_features,spotify:track:5bcTCxgc7xVfSaMV3RuVke
3,0.626,0.0848,100.041,0.0432,0.0969,3.12e-05,4,0.774,3,211475,-4.432,0.777,0,audio_features,spotify:track:4iLqG9SeJSnt0cSPICSjxv
4,0.815,0.0924,88.931,0.12,0.229,0.0,4,0.694,2,228827,-4.328,0.813,1,audio_features,spotify:track:5CtI0qwDJkDQGwXD1H1cLb
5,0.652,0.0931,95.977,0.0802,0.581,0.0,4,0.825,1,233713,-3.183,0.931,0,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3
6,0.7,0.153,116.073,0.0694,0.00261,1.56e-05,4,0.762,9,209320,-6.021,0.608,0,audio_features,spotify:track:2ekn2ttSfGqwhhate0LSR0
7,0.53,0.394,75.016,0.142,0.207,0.0,4,0.683,5,190428,-4.918,0.645,0,audio_features,spotify:track:7F9vK8hNFMml4GtHsaXui6
8,0.65,0.225,144.937,0.0591,0.219,0.0,4,0.548,8,194897,-5.827,0.557,0,audio_features,spotify:track:3A7qX2QjDlPnazUsRk5y0M
9,0.638,0.256,144.084,0.238,0.0252,0.0,4,0.701,11,203760,-6.889,0.868,0,audio_features,spotify:track:25C5CowdsfXld2jJanbiex
10,0.517,0.104,104.992,0.0312,0.186,3.8e-05,4,0.768,7,216897,-4.323,0.418,0,audio_features,spotify:track:0ofbQMrRDsUaVKq2mGLEAb
11,0.728,0.0785,92.006,0.0477,0.189,0.0,4,0.756,7,219130,-5.637,0.912,1,audio_features,spotify:track:46Uqy57KyAT7xBz6BIqdB3
12,0.485,0.0765,106.028,0.0545,0.246,0.0,4,0.869,6,204502,-5.595,0.527,1,audio_features,spotify:track:6EpRaXYhGOB3fj4V2uDkMJ
13,0.668,0.167,80.924,0.0367,0.0552,0.0,4,0.609,7,288600,-4.284,0.811,1,audio_features,spotify:track:3DXncPQOG4VBw3QHh3S817
14,0.644,0.124,105.969,0.0553,0.124,0.0,4,0.611,6,221904,-7.607,0.13,0,audio_features,spotify:track:6jA8HL9i4QGzsj6fjoxp8Y
15,0.677,0.13,103.809,0.0993,0.0148,6.21e-06,4,0.543,11,189440,-4.915,0.294,0,audio_features,spotify:track:2rb5MvYT7ZIxbKW5hfcHx8
