,Position,Track Name,Artist,Streams,date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0,1,Look What You Made Me Do,Taylor Swift,184006,2017-08-27,0.68,0.122,128.062,0.141,0.213,1.57e-05,4,0.773,9,211859,-6.377999999999999,0.49700000000000005,0
1,2,Friends (with BloodPop®),Justin Bieber,55518,2017-08-27,0.7390000000000001,0.306,104.99,0.0387,0.0045899999999999995,0.0,4,0.7440000000000001,8,189467,-5.35,0.649,1
2,3,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,43935,2017-08-27,0.745,0.0943,101.01799999999999,0.0571,0.0642,0.0,4,0.893,11,223413,-3.105,0.872,0
3,4,Attention,Charlie Puth,43547,2017-08-27,0.626,0.0848,100.041,0.0432,0.0969,3.12e-05,4,0.774,3,211475,-4.4319999999999995,0.777,0
4,5,Despacito - Remix,Luis Fonsi,42029,2017-08-27,0.815,0.0924,88.931,0.12,0.22899999999999998,0.0,4,0.6940000000000001,2,228827,-4.328,0.813,1
5,6,Shape of You,Ed Sheeran,40425,2017-08-27,0.652,0.0931,95.977,0.0802,0.581,0.0,4,0.825,1,233713,-3.1830000000000003,0.9309999999999999,0
6,7,New Rules,Dua Lipa,37259,2017-08-27,0.7,0.153,116.073,0.0694,0.0026100000000000003,1.56e-05,4,0.762,9,209320,-6.021,0.608,0
7,8,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,37166,2017-08-27,0.53,0.39399999999999996,75.016,0.142,0.207,0.0,4,0.6829999999999999,5,190428,-4.918,0.645,0
8,9,2U (feat. Justin Bieber),David Guetta,37065,2017-08-27,0.65,0.225,144.937,0.0591,0.21899999999999997,0.0,4,0.5479999999999999,8,194897,-5.827000000000001,0.557,0
9,10,Sorry Not Sorry,Demi Lovato,34162,2017-08-27,0.638,0.256,144.084,0.23800000000000002,0.0252,0.0,4,0.701,11,203760,-6.888999999999999,0.868,0
10,11,Havana,Camila Cabello,33440,2017-08-27,0.517,0.10400000000000001,104.992,0.0312,0.18600000000000003,3.8e-05,4,0.768,7,216897,-4.323,0.418,0
11,12,รักตัวเอง,Room 39,33075,2017-08-27,0.728,0.0785,92.006,0.0477,0.18899999999999997,0.0,4,0.7559999999999999,7,219130,-5.6370000000000005,0.912,1
12,13,Strip That Down,Liam Payne,32372,2017-08-27,0.485,0.0765,106.02799999999999,0.0545,0.24600000000000002,0.0,4,0.8690000000000001,6,204502,-5.595,0.527,1
13,14,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,31542,2017-08-27,0.6679999999999999,0.16699999999999998,80.92399999999999,0.0367,0.0552,0.0,4,0.609,7,288600,-4.284,0.8109999999999999,1
14,15,There for You,Martin Garrix,29898,2017-08-27,0.644,0.124,105.969,0.0553,0.124,0.0,4,0.611,6,221904,-7.607,0.13,0
15,16,Mi Gente,J Balvin,29634,2017-08-27,0.677,0.13,103.809,0.0993,0.0148,6.21e-06,4,0.5429999999999999,11,189440,-4.915,0.294,0
16,17,Silence,Marshmello,29473,2017-08-27,0.7609999999999999,0.17,141.971,0.0853,0.256,4.96e-06,4,0.52,4,180823,-3.093,0.28600000000000003,1
17,18,Thunder,Imagine Dragons,27155,2017-08-27,0.81,0.155,167.88,0.0479,0.00683,0.21,4,0.6,0,187147,-4.749,0.298,1
18,19,Ko Ko Bop,EXO,26466,2017-08-27,0.85,0.0678,145.983,0.0468,0.0319,4.8100000000000004e-05,4,0.7490000000000001,0,190423,-4.346,0.672,1
19,20,Unforgettable,French Montana,26180,2017-08-27,0.769,0.10400000000000001,97.985,0.12300000000000001,0.0293,0.0101,4,0.726,6,233902,-5.043,0.733,1
20,21,Mama,Jonas Blue,25809,2017-08-27,0.792,0.0516,104.016,0.0418,0.091,0.0,4,0.7390000000000001,11,181615,-4.256,0.547,0
21,22,รังเกียจกันไหม?,UrboyTJ,25667,2017-08-27,0.37200000000000005,0.0739,136.99200000000002,0.0707,0.485,9.63e-06,4,0.8029999999999999,9,197493,-10.058,0.134,1
22,23,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,25034,2017-08-27,0.672,0.11800000000000001,97.98,0.0688,0.0329,0.0,4,0.6709999999999999,0,204173,-3.094,0.632,0
23,24,เผด็จเกิร์ล,Tattoo Colour,24968,2017-08-27,0.8590000000000001,0.10400000000000001,115.015,0.0385,0.0736,0.0,4,0.664,9,187520,-4.021,0.777,1
24,25,คนละชั้น,Jaonaay,24868,2017-08-27,0.419,0.10400000000000001,142.114,0.0494,0.684,0.0,4,0.71,10,207907,-9.711,0.445,1
25,26,ไม่อยากฟัง,UrboyTJ,24607,2017-08-27,0.8440000000000001,0.42100000000000004,186.045,0.295,0.0219,0.0,4,0.5670000000000001,9,194194,-5.136,0.823,1
26,27,There's Nothing Holdin' Me Back,Shawn Mendes,24201,2017-08-27,0.8,0.0913,121.99600000000001,0.0583,0.381,0.0,4,0.857,2,199440,-4.035,0.966,1
27,28,As If It's Your Last,BLACKPINK,24189,2017-08-27,0.853,0.0759,125.03399999999999,0.0816,0.0688,0.0,4,0.7859999999999999,8,213264,-2.687,0.45,1
28,29,พัง..(ลำพัง),Getsunova,24131,2017-08-27,0.691,0.225,79.85600000000001,0.0307,0.0611,2.54e-05,4,0.293,7,252126,-4.8389999999999995,0.29100000000000004,1
29,30,ก่อนฤดูฝน,The Toys,23566,2017-08-27,0.49,0.23399999999999999,134.944,0.0416,0.431,0.0,4,0.715,1,223778,-12.673,0.743,1
30,31,ช่วงนี้(Karma),Atom Chanakan,22923,2017-08-27,0.657,0.0881,102.023,0.0414,0.483,2.0399999999999998e-05,4,0.7170000000000001,9,212603,-3.929,0.674,0
31,32,Without You (feat. Sandro Cavazza),Avicii,22641,2017-08-27,0.855,0.0404,134.009,0.0441,0.00179,0.0,4,0.652,2,181673,-4.832,0.27899999999999997,1
32,33,Young Dumb & Broke,Khalid,22596,2017-08-27,0.539,0.165,136.94899999999998,0.0421,0.19899999999999998,1.66e-05,4,0.7979999999999999,1,202547,-6.351,0.39399999999999996,1
33,34,Lonely Together (feat. Rita Ora),Avicii,22568,2017-08-27,0.6659999999999999,0.0683,102.977,0.0612,0.134,2.12e-05,4,0.655,5,181812,-5.309,0.272,1
34,35,Something Just Like This,The Chainsmokers,21661,2017-08-27,0.635,0.16399999999999998,103.01899999999999,0.0317,0.0498,1.4400000000000001e-05,4,0.617,11,247160,-6.769,0.446,0
35,36,จังหวะจะรัก - From “Heartbeat” Original Soundtrack,Violette Wautier,20767,2017-08-27,0.687,0.087,89.931,0.0278,0.138,0.000177,4,0.546,8,220000,-5.129,0.213,1
36,37,XO Tour Llif3,Lil Uzi Vert,20290,2017-08-27,0.75,0.109,155.096,0.231,0.00264,0.0,4,0.732,11,182707,-6.3660000000000005,0.401,0
37,38,I Like Me Better,Lauv,20179,2017-08-27,0.505,0.10400000000000001,91.97,0.253,0.535,2.55e-06,4,0.752,9,197437,-7.621,0.419,1
38,39,Galway Girl,Ed Sheeran,19757,2017-08-27,0.8759999999999999,0.327,99.943,0.1,0.0735,0.0,4,0.624,9,170827,-3.3739999999999997,0.7809999999999999,1
39,40,That's What I Like,Bruno Mars,19383,2017-08-27,0.56,0.0944,134.066,0.0406,0.013000000000000001,0.0,4,0.853,1,206693,-4.961,0.86,1
40,41,Fetish (feat. Gucci Mane),Selena Gomez,19271,2017-08-27,0.61,0.0641,123.038,0.0574,0.0204,4.45e-06,4,0.708,2,186113,-4.522,0.305,1
41,42,Glorious (feat. Skylar Grey),Macklemore,18487,2017-08-27,0.794,0.11199999999999999,139.994,0.0522,0.0323,2.59e-05,4,0.731,0,220454,-5.126,0.35600000000000004,0
42,43,Slow Hands,Niall Horan,18317,2017-08-27,0.426,0.0546,85.90799999999999,0.0509,0.0142,0.0,4,0.728,0,188174,-6.69,0.8440000000000001,1
43,44,More Than You Know,Axwell /\ Ingrosso,18147,2017-08-27,0.743,0.257,123.074,0.0355,0.034,0.0,4,0.644,5,203000,-5.002,0.544,0
44,45,โทษที่เอาแต่ใจ (sorry),Peck Palitchoke,17524,2017-08-27,0.5329999999999999,0.0894,183.945,0.38299999999999995,0.743,0.0,4,0.742,10,267910,-7.761,0.754,1
45,46,Symphony (feat. Zara Larsson),Clean Bandit,17274,2017-08-27,0.629,0.138,122.863,0.0563,0.259,1.6e-05,4,0.7070000000000001,0,212459,-4.581,0.457,0
46,47,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,17258,2017-08-27,0.868,0.10400000000000001,121.03,0.0291,0.15,0.132,4,0.703,7,193613,-4.6610000000000005,0.733,0
47,48,Your Song,Rita Ora,17085,2017-08-27,0.624,0.0513,117.959,0.0488,0.158,0.0,4,0.855,1,180757,-4.093,0.9620000000000001,1
