age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
24,technician,single,university,yes,no,telephone,may,mon,380,1,999,0,nonexistent,no
41,blue-collar,married,unknown,no,no,telephone,may,mon,55,1,999,0,nonexistent,no
30,unemployed,married,high_school,no,no,telephone,may,mon,38,1,999,0,nonexistent,no
35,technician,married,university,no,yes,telephone,may,mon,99,1,999,0,nonexistent,no
46,admin,married,unknown,no,no,telephone,may,mon,348,1,999,0,nonexistent,no
59,technician,married,unknown,yes,no,telephone,may,mon,386,1,999,0,nonexistent,no
49,blue-collar,married,unknown,no,no,telephone,may,mon,73,1,999,0,nonexistent,no
41,admin,married,university,yes,no,telephone,may,mon,577,1,999,0,nonexistent,no
40,blue-collar,married,basic,no,yes,telephone,may,mon,178,1,999,0,nonexistent,no
45,blue-collar,married,basic,yes,no,telephone,may,mon,225,2,999,0,nonexistent,no
54,admin,married,high_school,no,no,telephone,may,mon,160,1,999,0,nonexistent,no
60,admin,married,high_school,no,no,telephone,may,mon,253,1,999,0,nonexistent,no
55,blue-collar,married,basic,no,no,telephone,may,mon,269,2,999,0,nonexistent,no
55,technician,married,university,yes,no,telephone,may,mon,135,1,999,0,nonexistent,no
42,blue-collar,married,basic,no,no,telephone,may,mon,366,1,999,0,nonexistent,no
33,admin,married,unknown,yes,no,telephone,may,mon,273,1,999,0,nonexistent,no
47,admin,married,university,yes,no,telephone,may,mon,176,1,999,0,nonexistent,no
57,unknown,married,unknown,no,no,telephone,may,mon,211,1,999,0,nonexistent,no
38,technician,single,university,no,yes,telephone,may,mon,20,1,999,0,nonexistent,no
34,admin,married,high_school,yes,no,telephone,may,mon,188,2,999,0,nonexistent,no
42,management,married,university,no,no,telephone,may,mon,426,1,999,0,nonexistent,no
44,blue-collar,married,basic,no,no,telephone,may,mon,257,1,999,0,nonexistent,no
52,admin,divorced,university,no,no,telephone,may,mon,197,1,999,0,nonexistent,no
43,services,single,high_school,no,no,telephone,may,mon,21,1,999,0,nonexistent,no
60,retired,divorced,university,no,no,telephone,may,mon,514,1,999,0,nonexistent,no
35,services,divorced,high_school,yes,no,telephone,may,mon,194,1,999,0,nonexistent,no
37,management,married,university,no,no,telephone,may,mon,337,2,999,0,nonexistent,no
57,blue-collar,divorced,unknown,yes,no,telephone,may,mon,518,1,999,0,nonexistent,no
41,services,married,high_school,no,no,telephone,may,mon,139,1,999,0,nonexistent,no
32,admin,married,university,yes,yes,telephone,may,mon,175,1,999,0,nonexistent,no
